airfoil,alpha,CL,CD,CM
ag52,0,0.0988,0.01332,-0.0304
ag52,5,0.7554,0.01522,-0.0397
ag52,10,1.1019,0.0548,-0.0127
ag53,-5,-0.3901,0.02106,-0.0366
ag53,0,0.1046,0.01291,-0.0305
ag53,5,0.7547,0.01531,-0.0388
ag53,10,1.0922,0.05786,-0.0129
ag54,-5,-0.3791,0.0337,-0.0406
ag54,0,0.1147,0.01213,-0.0304
ag54,5,0.7538,0.01551,-0.037
ag54,10,1.072,0.06165,-0.0132
ag55,-5,-0.3992,0.05231,-0.0388
ag55,0,0.1395,0.01105,-0.0311
ag55,5,0.7527,0.01577,-0.0341
ag55,10,1.0825,0.06605,-0.017
ah63k127,-5,-0.1448,0.0601,-0.1446
ah63k127,0,0.1464,0.03155,-0.0652
ah63k127,5,0.5882,0.04576,-0.0633
ah63k127,10,1.0789,0.03691,-0.0381
ah79k132,-5,-0.623,0.09677,0.0965
ah79k132,0,0.2598,0.03302,-0.0762
ah79k132,5,0.5839,0.04082,-0.0444
ah79k132,10,1.1604,0.02681,-0.0293
ah79k135,-5,-0.4198,0.04139,-0.0497
ah79k135,0,0.3419,0.0308,-0.0865
ah79k135,5,0.5664,0.03842,-0.0381
ah79k135,10,1.0232,0.03095,-0.0108
ah79k143,-5,-0.5043,0.03896,-0.0331
ah79k143,0,0.2737,0.03512,-0.0756
ah79k143,5,0.5182,0.04348,-0.0334
ah79k143,10,0.9229,0.0324,0.0053
ah80129,-5,-0.3185,0.19604,-0.01
ah80129,0,0.1909,0.034,-0.0687
ah80129,5,0.5552,0.04756,-0.0504
ah80129,10,0.9587,0.04284,-0.0154
ah80136,-5,-0.3144,0.0439,-0.0405
ah80136,0,0.3059,0.03301,-0.0637
ah80136,5,0.5865,0.05185,-0.042
ah80136,10,1.1063,0.04551,-0.0238
ah80140,-5,-0.1571,0.04198,-0.07
ah80140,0,0.4016,0.02867,-0.0758
ah80140,5,0.5545,0.0601,-0.0494
ah80140,10,0.8363,0.08603,-0.0373
ah81131,-5,-1.609,0.08376,0.3255
ah81131,0,-0.0459,0.033,-0.0206
ah81131,5,0.5457,0.04417,-0.0307
ah81131,10,0.9528,0.03605,0.0092
ah82150a,-5,-0.378,0.0398,-0.0656
ah82150a,0,0.2464,0.03722,-0.0723
ah82150a,5,0.7029,0.03555,-0.0651
ah82150a,10,1.0837,0.03127,-0.0348
ah82150f,-5,-1.0635,0.08012,0.1839
ah82150f,0,-0.0346,0.04257,-0.0355
ah82150f,5,0.4784,0.04648,-0.0363
ah82150f,10,0.9252,0.03412,-0.0077
ah83150q,-5,-0.2275,0.03713,-0.1005
ah83150q,0,0.4617,0.03603,-0.0967
ah83150q,5,0.5441,0.04984,-0.0372
ah83150q,10,1.1431,0.03887,-0.0339
ah83159,-5,-0.2367,0.07343,-0.0602
ah83159,0,0.0663,0.04791,-0.0539
ah83159,5,0.3888,0.0538,-0.0275
ah83159,10,0.8865,0.05889,-0.0286
ah85l120,-5,-0.6716,0.02423,0.0197
ah85l120,0,0.0,0.02526,-0.0
ah85l120,5,0.6715,0.02422,-0.0197
ah85l120,10,0.6525,0.08615,0.0419
ah88k130,-5,-0.882,0.04502,0.113
ah88k130,0,0.0476,0.03191,-0.0581
ah88k130,5,0.5476,0.04648,-0.0635
ah88k130,10,1.0533,0.04038,-0.0426
ah88k136,-5,-0.6716,0.0636,0.0042
ah88k136,0,-0.0687,0.03565,-0.0162
ah88k136,5,0.5906,0.04357,-0.0385
ah88k136,10,0.9632,0.03387,0.0064
ah93156,-5,-0.4605,0.04613,-0.0434
ah93156,0,0.2313,0.04152,-0.0717
ah93156,5,0.5047,0.04841,-0.034
ah93156,10,0.9607,0.04515,-0.0163
ah93157,-5,-0.4161,0.04258,-0.0484
ah93157,0,0.2903,0.0393,-0.0782
ah93157,5,0.5375,0.04691,-0.0363
ah93157,10,1.0137,0.04125,-0.018
ah93k130,-5,-0.5949,0.0682,-0.0112
ah93k130,0,0.1392,0.03589,-0.0557
ah93k130,5,0.6009,0.04432,-0.0444
ah93k130,10,1.1183,0.02938,-0.0172
ah93k131,-5,-0.149,0.0624,-0.033
ah93k131,0,0.1904,0.03591,-0.0623
ah93k131,5,0.6025,0.04509,-0.0439
ah93k131,10,1.147,0.02852,-0.0192
ah93k132,-5,-0.5914,0.07062,-0.0148
ah93k132,0,-0.0015,0.03692,-0.0319
ah93k132,5,0.5917,0.04357,-0.0416
ah93k132,10,1.118,0.0286,-0.0169
ah93w145,-5,-0.0979,0.02432,-0.0986
ah93w145,0,0.4679,0.0223,-0.0983
ah93w145,5,1.075,0.01868,-0.1118
ah93w145,10,1.1444,0.05817,-0.0663
ah93w174,-5,-0.1238,0.02555,-0.0951
ah93w174,0,0.1999,0.0335,-0.0552
ah93w174,5,0.779,0.03796,-0.0756
ah93w174,10,0.6896,0.09808,-0.0524
ah93w215,-5,-0.2133,0.02562,-0.0785
ah93w215,0,-0.1738,0.04286,0.0007
ah93w215,5,0.643,0.04759,-0.048
ah93w215,10,0.5136,0.0917,-0.0075
ah93w257,-5,0.1127,0.08157,-0.0494
ah93w257,0,0.0233,0.07462,-0.0236
ah93w257,5,0.1326,0.09505,-0.0236
ah93w257,10,0.5279,0.11346,-0.0435
ah93w300,-5,0.2326,0.08606,-0.0619
ah93w300,0,0.3012,0.04667,-0.049
ah93w300,5,0.7085,0.04459,-0.0367
ah93w300,10,0.4402,0.12656,-0.0312
ah94145,-5,-0.1714,0.06987,-0.1003
ah94145,0,0.3105,0.04684,-0.1154
ah94145,5,0.765,0.06855,-0.1165
ah94145,10,1.1956,0.07128,-0.1
ah94156,-5,-0.3199,0.03675,0.0424
ah94156,0,0.2344,0.04035,-0.0718
ah94156,5,0.4941,0.0472,-0.0331
ah94156,10,1.019,0.04032,-0.0227
ah94w301,-5,0.2013,0.09561,-0.0646
ah94w301,0,0.3908,0.07147,-0.0573
ah94w301,5,-0.0286,0.09963,-0.0254
ah94w301,10,0.3063,0.13233,-0.045
ah95160,-5,-0.1661,0.05689,-0.1093
ah95160,0,0.1619,0.05336,-0.1006
ah95160,5,0.5089,0.07509,-0.0936
ah95160,10,1.0375,0.08685,-0.0908
as5045,-5,-0.3294,0.01976,-0.0556
as5045,0,0.0988,0.0291,-0.0205
as5045,5,0.6257,0.0261,-0.0174
as5045,10,1.1076,0.03149,-0.0116
as5046,-5,-0.3899,0.02227,-0.0392
as5046,0,0.1092,0.0302,-0.0184
as5046,5,0.6152,0.02591,-0.0125
as5046,10,1.1073,0.02961,-0.0084
as5048,-5,-0.4188,0.03041,-0.0242
as5048,0,0.0051,0.03573,-0.0013
as5048,5,0.5168,0.03244,-0.0016
as5048,10,1.0569,0.02775,-0.0001
atr72sm,-5,-0.4439,0.02969,-0.0189
atr72sm,0,0.4644,0.01782,-0.0622
atr72sm,5,0.8432,0.02554,-0.0368
atr72sm,10,0.6999,0.09131,-0.002
august160,-5,-0.0947,0.05262,-0.0548
august160,0,0.5354,0.02578,-0.0651
august160,5,0.2789,0.08638,-0.031
august160,10,0.5515,0.12726,-0.0291
avistar,-5,-0.4906,0.03801,-0.0306
avistar,0,0.4085,0.0196,-0.0848
avistar,5,0.8171,0.0189,-0.0563
avistar,10,0.9708,0.03765,0.0024
bacnlf,-5,-0.5448,0.03194,-0.0239
bacnlf,0,-0.1446,0.01696,0.0143
bacnlf,5,0.6349,0.02056,-0.035
bacnlf,10,0.4788,0.15328,-0.0232
be50sm,-5,-0.2925,0.06481,-0.0462
be50sm,0,0.3886,0.01552,-0.099
be50sm,5,1.0061,0.01726,-0.0971
be50sm,10,1.3718,0.04202,-0.0678
bw3,-5,-0.2911,0.08096,-0.0247
bw3,0,0.1457,0.08926,-0.0511
bw3,5,1.1102,0.02125,-0.1262
bw3,10,0.5216,1.22452,-0.0577
ch10sm,-5,-0.0624,0.12265,-0.0757
ch10sm,0,-0.1146,0.12274,-0.0436
ch10sm,5,0.971,0.09417,-0.2049
ch10sm,10,1.2462,0.12463,-0.1893
clarkysm,-5,-0.3868,0.04405,-0.0446
clarkysm,0,0.364,0.02003,-0.0883
clarkysm,5,0.9401,0.0181,-0.0801
clarkysm,10,1.2557,0.02683,-0.036
cr001sm,-5,-0.3603,0.07141,-0.0279
cr001sm,0,0.306,0.01809,-0.088
cr001sm,5,1.0185,0.01591,-0.1059
cr001sm,10,1.3357,0.04218,-0.0643
davissm,-5,-0.3357,0.08655,-0.0235
davissm,0,0.5266,0.0282,-0.1447
davissm,5,1.2211,0.01865,-0.1587
davissm,10,1.6985,0.05973,-0.1466
du84132v,-5,-0.4132,0.03288,-0.0564
du84132v,0,0.1741,0.024,-0.0502
du84132v,5,0.9054,0.01853,-0.0793
du84132v,10,1.2655,0.02761,-0.0503
hor12,-5,-0.2188,0.0241,-0.093
hor12,0,0.489,0.01769,-0.1166
hor12,5,1.0362,0.02118,-0.1081
hor12,10,1.4845,0.0299,-0.0891
hor20,-5,-0.2015,0.03015,-0.0907
hor20,0,0.3491,0.02748,-0.0861
hor20,5,0.8912,0.0301,-0.0815
hor20,10,1.3481,0.041,-0.0689
hs1404,-5,-0.3048,0.06067,-0.0484
hs1404,0,0.3001,0.00856,-0.0781
hs1404,5,0.8734,0.02456,-0.07
hs1404,10,2.5218,3.28147,-0.5689
hs1430,-5,-0.6213,0.05253,-0.0053
hs1430,0,0.0463,0.03661,-0.0236
hs1430,5,1.0327,0.03928,-0.0965
hs1430,10,0.3065,0.13972,0.0043
hs1606,-5,-0.3577,0.07386,-0.0281
hs1606,0,0.3323,0.02242,-0.0962
hs1606,5,1.0647,0.01555,-0.1134
hs1606,10,0.9945,0.12182,-0.0737
hs1620,-5,-0.4095,0.0439,-0.0545
hs1620,0,0.2611,0.0351,-0.0791
hs1620,5,1.0207,0.02341,-0.103
hs1620,10,1.4443,0.03759,-0.0839
hs1708,-5,-0.3764,0.07902,-0.0278
hs1708,0,0.4243,0.02872,-0.1204
hs1708,5,1.1443,0.01918,-0.1341
hs1708,10,1.4654,0.04215,-0.0906
hs1712,-5,-0.4052,0.07793,-0.0306
hs1712,0,0.4706,0.02832,-0.1246
hs1712,5,1.2048,0.01984,-0.1469
hs1712,10,1.5667,0.03382,-0.112
jx-gs-04,-5,-0.5608,0.04392,-0.0086
jx-gs-04,0,0.0678,0.0106,-0.0095
jx-gs-04,5,0.6732,0.01613,-0.0125
jx-gs-04,10,1.0079,0.06039,0.0055
jx-gs-06,-5,-0.5518,0.05588,-0.0106
jx-gs-06,0,0.0534,0.01112,-0.0092
jx-gs-06,5,0.6867,0.01591,-0.0174
jx-gs-06,10,0.9993,0.06135,0.0047
jx-gs-10,-5,-0.187,0.22323,-0.0153
jx-gs-10,0,0.0467,0.01193,-0.0119
jx-gs-10,5,0.6959,0.01528,-0.0215
jx-gs-10,10,0.9539,0.06675,0.0044
jx-gs-15,-5,-0.4417,0.04237,-0.0157
jx-gs-15,0,0.0142,0.01249,-0.0081
jx-gs-15,5,0.7081,0.01525,-0.0272
jx-gs-15,10,0.9593,0.06422,0.0053
s102b,-5,-0.3274,0.02808,-0.0629
s102b,0,0.0379,0.03278,-0.0216
s102b,5,0.769,0.02321,-0.0505
s102b,10,1.2387,0.03659,-0.0412
s102s,-5,-0.3773,0.03045,-0.0541
s102s,0,-0.0922,0.03369,0.0016
s102s,5,0.7008,0.02433,-0.0385
s102s,10,1.1972,0.03544,-0.0327
tsagi_r3a,-5,-0.2945,0.04963,-0.0325
tsagi_r3a,0,0.301,0.01618,-0.032
tsagi_r3a,5,0.8079,0.02552,-0.023
tsagi_r3a,10,0.8002,0.10766,-0.0406
w1011,-5,-0.5737,0.01723,-0.001
w1011,0,-0.0007,0.01332,0.0001
w1011,5,0.5733,0.01722,0.001
w1011,10,1.0057,0.04173,0.0162
w1015,-5,-0.6553,0.01896,0.0144
w1015,0,-0.0,0.01656,-0.0
w1015,5,0.6552,0.01895,-0.0144
w1015,10,1.0413,0.03232,0.0129
