rLE,Xup,Yup,Xlo,Ylo,cl,cd,cm,cl_cd,alpha,status
0.01,0.18884239,0.2275,0.4000008,-0.0825,388.16034,-62.962177,-78.41107,0.0,5.0,1
0.01,0.18884239,0.2275,0.4000008,-0.01,32.720074,-4.5096946,-8.088153,0.0,5.0,1
0.01,0.18884239,0.2275,0.5000011,-0.3,2.1842975e+16,-3660329500000000.0,-3975023600000000.0,0.0,5.0,1
0.01,0.18884239,0.2275,0.5000011,-0.2275,1.6564255e+16,-2775750400000000.0,-3014393000000000.0,0.0,5.0,1
0.01,0.18884239,0.2275,0.5000011,-0.155,1.1285538e+16,-1891170200000000.0,-2053762500000000.0,0.0,5.0,1
0.01,0.18884239,0.2275,0.5000011,-0.0825,6006820000000000.0,-1006590700000000.0,-1093131900000000.0,0.0,5.0,1
0.01,0.18884239,0.2275,0.5000011,-0.01,728099200000000.0,-122010995000000.0,-132500770000000.0,0.0,5.0,1
0.01,0.18884239,0.3,0.1,-0.3,-3.156807,0.46016216,0.57435167,-6.860205,5.0,1
0.01,0.18884239,0.3,0.1,-0.2275,-4.0823903,0.5816047,0.95702946,-7.0191836,5.0,1
0.01,0.18884239,0.3,0.1,-0.155,-4.901044,-0.0028444193,1.3097053,0.0,5.0,1
0.01,0.18884239,0.3,0.1,-0.0825,-5.0972137,0.27373958,1.821234,-18.620668,5.0,1
0.01,0.18884239,0.3,0.1,-0.01,-5.672034,0.19185328,1.844991,-29.564434,5.0,1
0.01,0.18884239,0.3,0.20000027,-0.3,-0.40569502,0.5559857,-0.12771828,-0.7296861,5.0,1
0.01,0.18884239,0.3,0.20000027,-0.2275,-1.653916,0.7285747,0.25794995,-2.2700706,5.0,1
0.01,0.18884239,0.3,0.20000027,-0.155,-3.2569585,0.5898447,0.77289575,-5.521722,5.0,1
0.01,0.18884239,0.3,0.20000027,-0.0825,-4.2181473,0.4353376,1.2551382,-9.68937,5.0,1
0.01,0.18884239,0.3,0.20000027,-0.01,-5.1952515,0.28599465,1.6810343,-18.165554,5.0,1
0.01,0.18884239,0.3,0.30000052,-0.3,64.49744,-7.998222,-18.081133,0.0,5.0,1
0.01,0.18884239,0.3,0.30000052,-0.2275,30.150482,-4.2417164,-7.890633,0.0,5.0,1
0.01,0.18884239,0.3,0.30000052,-0.155,15.951913,-2.3717375,-4.4289823,0.0,5.0,1
0.01,0.18884239,0.3,0.30000052,-0.0825,1.985841,-0.4583729,-0.20959549,0.0,5.0,1
0.01,0.18884239,0.3,0.30000052,-0.01,-5.5855346,0.35767812,1.7628436,-15.616093,5.0,1
